,name,start_pos,end_pos,tag,score
524,"Roger suddenly,“whaddya",44153,44176,PERSON,1
525,Astro,44204,44209,WORK_OF_ART,1
526,Roger,44244,44249,PERSON,1
527,Roger,44371,44376,PERSON,1
528,Tom,44414,44417,PERSON,1
529,Roger,44546,44551,PERSON,1
530,Astro,44584,44589,WORK_OF_ART,1
531,Tom,44650,44653,PERSON,1
532,three,44658,44663,CARDINAL,1
533,huh?”he,44726,44733,ORG,1
534,Tom,44779,44782,PERSON,1
535,three,44787,44792,CARDINAL,1
536,three,45035,45040,CARDINAL,1
537,Tom,45076,45079,PERSON,1
538,Simms,45158,45163,PERSON,1
539,Just five,45207,45216,CARDINAL,1
540,only five,45256,45265,CARDINAL,1
541,Tom,45299,45302,PERSON,1
542,three,45322,45327,CARDINAL,1
543,"please,”he",45359,45369,PERSON,1
544,Simms,45377,45382,ORG,1
545,three,45477,45482,CARDINAL,1
546,the Space Cadets,45671,45687,ORG,1
547,Tom,45814,45817,PERSON,1
548,Simms,45820,45825,ORG,1
549,guy!”And,45878,45886,PERSON,1
550,Space Cadet,45914,45925,ORG,1
551,Tom,45987,45990,PERSON,1
552,Roger,46056,46061,PERSON,1
553,Astro,46066,46071,WORK_OF_ART,1
554,Simms,46101,46106,PERSON,1
555,Just two,46144,46152,CARDINAL,1
556,two,46215,46218,CARDINAL,1
557,Gus Wallace,46231,46242,PERSON,1
558,Simms,46313,46318,PERSON,1
559,Simms,46322,46327,PERSON,1
560,the last two,46461,46473,DATE,1
561,the last two,46527,46539,DATE,1
562,Wallace,46544,46551,ORG,1
563,two,46670,46673,CARDINAL,1
564,"“O. K., O. K.",46691,46704,PERSON,1
565,Simms,46727,46732,ORG,1
566,Wallace,46801,46808,PERSON,1
567,Wallace,46983,46990,PERSON,1
568,seconds,47029,47036,TIME,1
569,Roger,47387,47392,PERSON,1
570,Tom,47529,47532,PERSON,1
571,Romeo,47594,47599,PERSON,1
572,Manning,47637,47644,PERSON,1
573,Roger,47739,47744,PERSON,1
574,Astro,47793,47798,ORG,1
575,Roger,47951,47956,PERSON,1
576,Simms,48366,48371,PERSON,1
577,Roger,48374,48379,PERSON,1
578,"jets,”he",48434,48442,DATE,1
579,Simms,48455,48460,PERSON,1
580,Tom,48506,48509,PERSON,1
581,Astro,48514,48519,PERSON,1
582,Venusian,48586,48594,NORP,1
583,Tom,48843,48846,PERSON,1
584,Astro,48852,48857,PERSON,1
585,Manning,48871,48878,PERSON,1
586,Luna,49109,49113,PERSON,1
587,Tom,49139,49142,PERSON,1
588,Astro,49155,49160,PERSON,1
589,Venusian,49203,49211,NORP,1
590,Venus,49262,49267,LOC,1
591,Simms,49333,49338,PERSON,1
592,Wallace,49362,49369,PERSON,1
593,Wallace,49686,49693,PERSON,1
594,Simms,49698,49703,PERSON,1
595,Roger,49737,49742,PERSON,1
596,Tom,49747,49750,PERSON,1
597,Wallace?”demanded Tom.,49794,49816,PERSON,1
598,Wallace,49818,49825,PERSON,1
599,two,49835,49838,CARDINAL,1
600,Wallace,50042,50049,PERSON,1
601,One,50214,50217,CARDINAL,1
602,Wallace,50278,50285,PERSON,1
603,Roger,50303,50308,PERSON,1
604,Wallace,50355,50362,PERSON,1
605,Tom,50368,50371,PERSON,1
606,"Roger,”he",50416,50425,PERSON,1
607,Wallace,50530,50537,PERSON,1
608,Space Academy,50641,50654,ORG,1
609,Simms,50680,50685,PERSON,1
610,Roger,50825,50830,PERSON,1
611,Simms,50930,50935,PERSON,1
612,two,50945,50948,CARDINAL,1
613,Tom,50995,50998,PERSON,1
614,Roger,51009,51014,PERSON,1
615,Roger,51066,51071,PERSON,1
616,Astro,51254,51259,WORK_OF_ART,1
617,Simms,51305,51310,PERSON,1
618,Astro,51356,51361,PRODUCT,1
619,Tom,51445,51448,PERSON,1
620,atmosphere?”Astro,51514,51531,FAC,1
621,Tom,51552,51555,PERSON,1
622,"Roger,“here",51600,51611,ORG,1
623,one,51670,51673,CARDINAL,1
624,about fifty,51719,51730,CARDINAL,1
625,at least two hundred,51801,51821,CARDINAL,1
626,Roger,51900,51905,PERSON,1
627,Tom,51916,51919,PERSON,1
628,Tom,51940,51943,PERSON,1
629,Astro,52082,52087,PERSON,1
630,Tom,52090,52093,PERSON,1
631,K.,52115,52117,PERSON,1
632,two,52122,52125,CARDINAL,1
633,Tom,52181,52184,PERSON,1
634,Astro,52273,52278,PERSON,1
635,Roger,52283,52288,PERSON,1
636,one,52302,52305,CARDINAL,1
637,a few minutes,52367,52380,TIME,1
638,Tom,52381,52384,PERSON,1
639,Spot anything?”asked Roger,52397,52423,WORK_OF_ART,1
