,name,start_pos,end_pos,tag,score
869,Baby Jane,102492,102501,PERSON,1
870,Bear,102620,102624,ORG,1
871,Mary,102633,102637,PERSON,1
872,the Black Mountain Band,102684,102707,ORG,1
873,a hundred yards,103149,103164,QUANTITY,1
874,thousands,103256,103265,CARDINAL,1
875,about ten feet,103371,103385,QUANTITY,1
876,Baby Jane,103881,103890,PERSON,1
877,Leopard,103943,103950,ORG,1
878,the dim assembly,104014,104030,ORG,1
879,Rabbit,104069,104075,PERSON,1
880,thousand,104230,104238,CARDINAL,1
881,Bear,104403,104407,ORG,1
882,ten,104739,104742,CARDINAL,1
883,First,104756,104761,ORDINAL,1
884,Baby Jane,104782,104791,PERSON,1
885,only two,104872,104880,CARDINAL,1
886,Baby Jane,104893,104902,PERSON,1
887,Bear,104962,104966,ORG,1
888,Bear,105001,105005,ORG,1
889,Horse,105076,105081,ORG,1
890,every minute,105186,105198,TIME,1
891,Baby Jane,105362,105371,PERSON,1
892,Baby Jane,105478,105487,PERSON,1
893,half,105588,105592,CARDINAL,1
894,Jane,105761,105765,PERSON,1
895,Bear,105904,105908,ORG,1
896,Thlap,106238,106243,NORP,1
897,thlap,106245,106250,NORP,1
898,Horse,106389,106394,ORG,1
899,six cups,106406,106414,QUANTITY,1
900,Mary,106440,106444,PERSON,1
901,Jane,106482,106486,PERSON,1
902,the Black Leopard 's,106524,106544,ORG,1
903,thousand,106771,106779,CARDINAL,1
904,Mary,106819,106823,PERSON,1
905,hundred,107092,107099,CARDINAL,1
906,Bear,107199,107203,ORG,1
907,morrow,107272,107278,DATE,1
908,Mary,107767,107771,PERSON,1
909,four,107929,107933,CARDINAL,1
910,three,108034,108039,CARDINAL,1
911,Bear,108103,108107,ORG,1
912,Mary,108247,108251,PERSON,1
913,hyaenas,108381,108388,PERSON,1
914,three,108569,108574,CARDINAL,1
915,fourth,108613,108619,ORDINAL,1
916,the Black Mountain Army,108860,108883,ORG,1
917,Baby Jane,109000,109009,PERSON,1
918,Bear,109326,109330,ORG,1
919,earth,109752,109757,LOC,1
920,earth,109902,109907,LOC,1
921,Baby Jane,110148,110157,PERSON,1
922,Bear,110301,110305,PERSON,1
923,Mary,110310,110314,PERSON,1
924,some minutes,110413,110425,TIME,1
925,Mary,110427,110431,PERSON,1
926,Baby Jane,110696,110705,PERSON,1
927,morrow morning,110776,110790,TIME,1
928,a few minutes,111179,111192,TIME,1
929,Baby Bunting,111253,111265,WORK_OF_ART,1
930,Didums,111267,111273,PERSON,1
931,Didums chase,111288,111300,PERSON,1
932,Didums,111311,111317,PERSON,1
933,Didums,111334,111340,PERSON,1
934,hours,111515,111520,TIME,1
935,Baby Jane,111553,111562,PERSON,1
936,Baby Jane 's,111961,111973,ORG,1
937,Baby Jane,112175,112184,PERSON,1
938,Sammy,112203,112208,PERSON,1
939,five thousand,112358,112371,CARDINAL,1
940,a long minute,112521,112534,TIME,1
941,Black Mountain,112779,112793,LOC,1
942,Mary,112876,112880,PERSON,1
943,Bear,112962,112966,ORG,1
944,Baby Jane,113007,113016,PERSON,1
945,two,113079,113082,CARDINAL,1
946,Minute after minute,113139,113158,TIME,1
947,Lion,113267,113271,ORG,1
948,Baby Jane,113315,113324,PERSON,1
949,Black Mountain,113404,113418,LOC,1
950,Lion,113484,113488,ORG,1
951,Baby Jane,113543,113552,PERSON,1
952,A hundred,113730,113739,CARDINAL,1
953,Baby Jane,113873,113882,PERSON,1
954,Black Mountain,113984,113998,LOC,1
955,Bear,114061,114065,PERSON,1
956,Mary,114070,114074,PERSON,1
957,Baby Jane,114188,114197,PERSON,1
958,Lion,114350,114354,ORG,1
959,of many hundred,114600,114615,CARDINAL,1
960,Baby Jane,114765,114774,PERSON,1
961,Lion,114983,114987,PERSON,1
962,a few yards,115120,115131,QUANTITY,1
963,Lion,115392,115396,ORG,1
964,Lion,115458,115462,ORG,1
965,four,115622,115626,CARDINAL,1
966,Baby Jane,115676,115685,PERSON,1
967,two,116267,116270,CARDINAL,1
968,Baby Jane 's,116551,116563,PERSON,1
969,Crocodile,116922,116931,PERSON,1
970,Crocodile,117061,117070,PERSON,1
971,one,117185,117188,CARDINAL,1
972,a hundred,117198,117207,CARDINAL,1
973,three,117361,117366,CARDINAL,1
974,Black Mountaineers,117415,117433,ORG,1
975,Lion,117489,117493,ORG,1
976,Baby Jane,117546,117555,PERSON,1
977,Lion,117766,117770,ORG,1
978,Sammy,117993,117998,PERSON,1
979,second,118261,118267,ORDINAL,1
980,Sammy,118301,118306,PERSON,1
981,three thousand,118492,118506,CARDINAL,1
982,Black Mountain,118683,118697,LOC,1
983,Black Mountain,118934,118948,LOC,1
984,Black Mountain,118972,118986,LOC,1
985,Mary,119569,119573,PERSON,1
986,Bear,119582,119586,ORG,1
987,Queen,119805,119810,PERSON,1
988,four,119937,119941,CARDINAL,1
989,four,120143,120147,CARDINAL,1
990,Two,120255,120258,CARDINAL,1
991,Two,120277,120280,CARDINAL,1
992,Mary,120365,120369,PERSON,1
993,Bear,120378,120382,ORG,1
994,Mary,120385,120389,PERSON,1
995,Stork,120398,120403,ORG,1
996,Baby Jane,120414,120423,PERSON,1
997,Lion,120529,120533,PERSON,1
998,the open morning,120888,120904,TIME,1
999,Baby Jane,121185,121194,PERSON,1
1000,Breakfast,121197,121206,PERSON,1
1001,Queen,121217,121222,PERSON,1
1002,Lion,121493,121497,PERSON,1
1003,Bear,121525,121529,ORG,1
1004,Black Mountain,121738,121752,LOC,1
1005,Baby Jane,121894,121903,PERSON,1
1006,Baby Jane,122147,122156,PRODUCT,1
1007,Baby Jane,122285,122294,PERSON,1
1008,Lion,122892,122896,ORG,1
1009,Baby Jane,123463,123472,PERSON,1
1010,first,123732,123737,ORDINAL,1
1011,five minutes,124131,124143,TIME,1
1012,twenty yards,124489,124501,QUANTITY,1
1013,Bear,124690,124694,ORG,1
1014,Mary,124740,124744,PERSON,1
1015,Sammy,124798,124803,PERSON,1
1016,Baby Jane,125158,125167,PRODUCT,1
1017,Baby Jane,125259,125268,PERSON,1
1018,Lion company,125575,125587,ORG,1
1019,Lion,125813,125817,ORG,1
1020,Baby Jane,126183,126192,PERSON,1
1021,Lion,126204,126208,ORG,1
1022,half,126240,126244,CARDINAL,1
1023,half,126283,126287,CARDINAL,1
1024,two,126309,126312,CARDINAL,1
1025,Crocodile,126435,126444,PERSON,1
1026,inch,126577,126581,PERSON,1
1027,inch,126585,126589,PERSON,1
1028,Patsey,126843,126849,PERSON,1
1029,Baby Jane,127091,127100,PERSON,1
1030,first,127109,127114,ORDINAL,1
1031,second,127147,127153,ORDINAL,1
1032,Mary Carmichael,127155,127170,PERSON,1
1033,third,127187,127192,ORDINAL,1
1034,panther,127279,127286,PRODUCT,1
1035,Baby Jane,127376,127385,PERSON,1
1036,Lion,127578,127582,ORG,1
1037,half,127649,127653,CARDINAL,1
1038,Ten thousand,127909,127921,CARDINAL,1
1039,fifty,127937,127942,CARDINAL,1
1040,Zoos,127945,127949,WORK_OF_ART,1
1041,one,128041,128044,CARDINAL,1
1042,one,128383,128386,CARDINAL,1
1043,Baby Jane,128537,128546,PERSON,1
1044,Markham,128599,128606,GPE,1
1045,Markham,128624,128631,GPE,1
1046,Lion,128744,128748,ORG,1
1047,Bear,128757,128761,ORG,1
1048,two,128991,128994,CARDINAL,1
1049,Markham,129243,129250,PERSON,1
1050,Jane,129778,129782,PERSON,1
1051,Jane,129868,129872,PERSON,1
1052,Jane,129879,129883,PERSON,1
1053,Mary Carmichael,130163,130178,PERSON,1
1054,Baby Jane,130383,130392,PERSON,1
1055,Peter,130554,130559,PERSON,1
1056,Peru,130572,130576,GPE,1
1057,McColl,130587,130593,PERSON,1
1058,the Western Hebrides,130600,130620,LOC,1
1059,Cook,130641,130645,PERSON,1
1060,Jane,130712,130716,PERSON,1
1061,Jane,130813,130817,PERSON,1
1062,Africa,130824,130830,LOC,1
1063,Baby Jane,130866,130875,PERSON,1
1064,Crocodile,131284,131293,PERSON,1
1065,Piccaninny,131310,131320,PERSON,1
1066,Lion,131387,131391,PERSON,1
1067,Bear,131404,131408,ORG,1
1068,Patsey,131429,131435,PERSON,1
1069,twenty,131453,131459,CARDINAL,1
1070,Markham,131511,131518,PERSON,1
1071,"Sammy, Mary",131575,131586,PERSON,1
1072,Edouardo,131592,131600,PERSON,1
1073,Baby Jane 's,131640,131652,PERSON,1
1074,Sammy,131704,131709,PERSON,1
1075,Edouardo,131714,131722,PERSON,1
1076,Mary,131749,131753,PERSON,1
1077,victoria,131785,131793,PERSON,1
1078,Baby Jane,131836,131845,PERSON,1
1079,Sammy,131850,131855,PERSON,1
1080,barrow,131863,131869,PERSON,1
1081,Markham,131875,131882,GPE,1
1082,Mary,131890,131894,PERSON,1
1083,Baby Jane,131972,131981,PERSON,1
1084,Baby Jane 's,132231,132243,PERSON,1
1085,1,132530,132531,CARDINAL,1
