,name,start_pos,end_pos,tag,score
159,Louise,18891,18897,PERSON,1
160,Honora,18947,18953,PERSON,1
161,Howard,19050,19056,PERSON,1
162,Sid Dallam,19208,19218,PERSON,1
163,New York,19261,19269,GPE,1
164,"Howard,”she",19365,19376,PERSON,1
165,New Orleans,19431,19442,GPE,1
166,"girl,”he",19552,19560,PERSON,1
167,Rome,19618,19622,GPE,1
168,Palatine,19719,19727,GPE,1
169,Ostia,19789,19794,LOC,1
170,Honora,19800,19806,PERSON,1
171,New York,19864,19872,GPE,1
172,second,19881,19887,ORDINAL,1
173,December,19966,19974,DATE,1
174,morning,19975,19982,TIME,1
175,first,20165,20170,ORDINAL,1
176,Celt,20249,20253,NORP,1
177,Hun,20258,20261,PERSON,1
178,Israelite,20267,20276,NORP,1
179,Saxon,20281,20286,PRODUCT,1
180,Titans,20301,20307,NORP,1
181,first,20624,20629,ORDINAL,1
182,Howard,20686,20692,PERSON,1
183,New York,20797,20805,GPE,1
184,Fifth Avenue,20818,20830,FAC,1
185,New York,20958,20966,GPE,1
186,Honora,20990,20996,PERSON,1
187,Providence,21009,21019,GPE,1
188,This morning,21086,21098,TIME,1
189,Providence,21176,21186,GPE,1
190,one,21289,21292,CARDINAL,1
191,Maitlands,21334,21343,PERSON,1
192,New York,21636,21644,GPE,1
193,"all,”he",21652,21659,LAW,1
194,Howard,21884,21890,PERSON,1
195,a few hours,22068,22079,TIME,1
196,this morning,22089,22101,TIME,1
197,Honora,22132,22138,PERSON,1
198,"dollars,”he",22166,22177,PERSON,1
199,New York,22294,22302,GPE,1
200,a sparkling day,22416,22431,DATE,1
201,early winter,22435,22447,DATE,1
202,Honora,22453,22459,PERSON,1
203,Howard,22799,22805,PERSON,1
204,afternoon,22915,22924,TIME,1
205,future days,23032,23043,DATE,1
206,Delmonico,23090,23099,ORG,1
207,s. Howard,23101,23110,PERSON,1
208,Howard,23471,23477,PERSON,1
209,a fraction over eight dollars,23575,23604,MONEY,1
210,Mary,23622,23626,PERSON,1
211,Sid Dallam 's,23704,23717,PERSON,1
212,"love,”he",23718,23726,PERSON,1
213,Lily,23780,23784,PERSON,1
214,Sid,23792,23795,PERSON,1
215,Honora,23870,23876,PERSON,1
216,Howard,23885,23891,PERSON,1
217,Howard!”she,24272,24283,PERSON,1
218,New Jersey,24365,24375,GPE,1
219,Rivington,24439,24448,GPE,1
220,Honora,24484,24490,PERSON,1
221,that morning,24596,24608,TIME,1
222,Delmonico,24978,24987,ORG,1
223,eight dollars,24995,25008,MONEY,1
224,Rivington,25021,25030,GPE,1
225,Howard,25032,25038,PERSON,1
226,Lily Dallam,25217,25228,PERSON,1
227,a few years,25432,25443,DATE,1
228,a flat!”repeated Honora,25466,25489,PERSON,1
229,Frederick T. Maitland,25601,25622,PERSON,1
230,the Brougham Building,25640,25661,FAC,1
231,"Howard,”she protested,“why",25672,25698,PERSON,1
232,a month and a half,25790,25808,DATE,1
233,"the first few years,”he",25912,25935,DATE,1
234,Honora,26069,26075,PERSON,1
235,Dallam,26114,26120,PERSON,1
236,Easy Street,26173,26184,FAC,1
237,Fifth Avenue,26204,26216,FAC,1
238,Some day,26218,26226,DATE,1
239,Honora,26498,26504,PERSON,1
240,Howard,26616,26622,PERSON,1
241,Honora,26959,26965,PERSON,1
242,Howard,27031,27037,PERSON,1
243,the North River,27365,27380,LOC,1
244,New Jersey,27435,27445,GPE,1
245,Rivington,27464,27473,FAC,1
246,Honora,27640,27646,PERSON,1
247,Howard Spence,27855,27868,PERSON,1
248,forty-two minutes,27893,27910,TIME,1
249,that morning,28033,28045,TIME,1
250,red railroad station,28071,28091,FAC,1
251,hackman,28115,28122,PERSON,1
252,Honora,28271,28277,PERSON,1
253,Grand Army Hall,28330,28345,ORG,1
254,one,28388,28391,CARDINAL,1
255,two-acre,28396,28404,QUANTITY,1
256,Stafford Park,28605,28618,WORK_OF_ART,1
257,Howard,28713,28719,PERSON,1
258,hackman,28779,28786,PERSON,1
259,Honora,28789,28795,PERSON,1
260,Stafford Park,28815,28828,GPE,1
261,six,29165,29168,CARDINAL,1
262,three,29180,29185,CARDINAL,1
263,about two hundred feet,29234,29256,QUANTITY,1
264,Stafford Park,29295,29308,GPE,1
265,second,29335,29341,ORDINAL,1
266,Honora,29392,29398,PERSON,1
267,first,29413,29418,ORDINAL,1
268,five,29460,29464,CARDINAL,1
269,Stafford Park,29639,29652,GPE,1
270,Colonial,29754,29762,ORG,1
271,Honora,29998,30004,PERSON,1
272,Honora,30022,30028,PERSON,1
273,two,30120,30123,CARDINAL,1
274,four,30130,30134,CARDINAL,1
275,Howard,30169,30175,PERSON,1
276,Isham,30262,30267,PERSON,1
277,Eleanor,30300,30307,PERSON,1
278,Aunt Mary,30365,30374,PERSON,1
279,two,30662,30665,CARDINAL,1
280,One,30675,30678,CARDINAL,1
281,Susan Holt,30688,30698,PERSON,1
282,Lily Dallam,30781,30792,PERSON,1
283,New York,30812,30820,GPE,1
284,Sid,30884,30887,PERSON,1
285,Howard,30892,30898,PERSON,1
286,Howard,31011,31017,PERSON,1
287,a few years,31281,31292,DATE,1
288,Howard,31298,31304,PERSON,1
289,Sid,31309,31312,PERSON,1
290,Honora,31457,31463,PERSON,1
291,Susan,31582,31587,PERSON,1
292,Howard,31986,31992,PERSON,1
293,evening,32099,32106,TIME,1
294,Sundays,32289,32296,DATE,1
295,Howard,32305,32311,PERSON,1
296,Howard,32560,32566,PERSON,1
297,"dear,”he",32663,32671,ORG,1
298,Cowper,32695,32701,PERSON,1
299,One,32779,32782,CARDINAL,1
300,the twentieth century,32852,32873,DATE,1
301,Woman 's Rights,32920,32935,ORG,1
302,four,33068,33072,CARDINAL,1
303,two,33155,33158,CARDINAL,1
304,the four years,33626,33640,DATE,1
305,Rivington,33656,33665,GPE,1
306,Rivington,33766,33775,ORG,1
307,one,33884,33887,CARDINAL,1
308,Howard Spence,34333,34346,PERSON,1
309,every morning,34604,34617,TIME,1
310,night,34669,34674,TIME,1
311,morrow,34752,34758,DATE,1
312,Honora,34807,34813,PERSON,1
313,hours-ten minutes of eight in the morning,34986,35027,TIME,1
314,second,35115,35121,ORDINAL,1
315,third,35220,35225,ORDINAL,1
316,fourth,35322,35328,ORDINAL,1
317,Howard,35441,35447,PERSON,1
318,Honora,35504,35510,PERSON,1
319,a good many days,35739,35755,DATE,1
