,name,start_pos,end_pos,tag,score
460,7,20341,20342,CARDINAL,1
461,14,20344,20346,CARDINAL,1
462,Amos,20352,20356,PERSON,1
463,Amasias,20378,20385,PERSON,1
464,Israel,20660,20666,GPE,1
465,7,20669,20670,CARDINAL,1
466,15,20672,20674,CARDINAL,1
467,Israel,20775,20781,GPE,1
468,7,20784,20785,CARDINAL,1
469,16,20787,20789,CARDINAL,1
470,Israel,20876,20882,GPE,1
471,Bethel,21003,21009,GPE,1
472,7,21012,21013,CARDINAL,1
473,17,21015,21017,CARDINAL,1
474,Israel,21235,21241,GPE,1
475,Amos Chapter 8,21286,21300,PERSON,1
476,Israel,21391,21397,GPE,1
477,8,21447,21448,CARDINAL,1
478,1,21450,21451,CARDINAL,1
479,8,21532,21533,CARDINAL,1
480,2,21535,21536,CARDINAL,1
481,Amos,21568,21572,PERSON,1
482,Israel,21669,21675,GPE,1
483,8,21718,21719,CARDINAL,1
484,3,21721,21722,CARDINAL,1
485,that day,21769,21777,DATE,1
486,8,21854,21855,CARDINAL,1
487,4,21857,21858,CARDINAL,1
488,8,21937,21938,CARDINAL,1
489,5,21940,21941,CARDINAL,1
490,the month,21961,21970,DATE,1
491,8,22149,22150,CARDINAL,1
492,6,22152,22153,CARDINAL,1
493,8,22268,22269,CARDINAL,1
494,7,22271,22272,CARDINAL,1
495,Jacob,22315,22320,PERSON,1
496,8,22367,22368,CARDINAL,1
497,8,22370,22371,CARDINAL,1
498,Egypt,22534,22539,GPE,1
499,8,22542,22543,CARDINAL,1
500,9,22545,22546,CARDINAL,1
501,that day,22577,22585,DATE,1
502,midday,22637,22643,TIME,1
503,earth,22665,22670,LOC,1
504,8,22698,22699,CARDINAL,1
505,10,22701,22703,CARDINAL,1
506,a bitter day,22952,22964,DATE,1
507,8,22967,22968,CARDINAL,1
508,11,22970,22972,CARDINAL,1
509,days,22985,22989,DATE,1
510,8,23142,23143,CARDINAL,1
511,12,23145,23147,CARDINAL,1
512,east,23212,23216,LOC,1
513,8,23292,23293,CARDINAL,1
514,13,23295,23297,CARDINAL,1
515,that day,23302,23310,DATE,1
516,8,23372,23373,CARDINAL,1
517,14,23375,23377,CARDINAL,1
518,Samaria,23409,23416,GPE,1
519,O Dan,23436,23441,PERSON,1
520,Bersabee,23466,23474,PERSON,1
521,Amos Chapter 9,23529,23543,PERSON,1
522,Israel,23580,23586,GPE,1
523,David,23623,23628,PERSON,1
524,Gentiles,23656,23664,NORP,1
525,9,23712,23713,CARDINAL,1
526,1,23715,23716,CARDINAL,1
527,9,24028,24029,CARDINAL,1
528,2,24031,24032,CARDINAL,1
529,9,24173,24174,CARDINAL,1
530,3,24176,24177,CARDINAL,1
531,Carmel,24216,24222,GPE,1
532,9,24398,24399,CARDINAL,1
533,4,24401,24402,CARDINAL,1
534,9,24574,24575,CARDINAL,1
535,5,24577,24578,CARDINAL,1
536,earth,24633,24638,LOC,1
537,Egypt,24767,24772,GPE,1
538,9,24775,24776,CARDINAL,1
539,6,24778,24779,CARDINAL,1
540,earth,24860,24865,LOC,1
541,earth,24944,24949,LOC,1
542,one,25093,25096,CARDINAL,1
543,9,25119,25120,CARDINAL,1
544,7,25122,25123,CARDINAL,1
545,Ethiopians,25160,25170,NORP,1
546,Israel,25194,25200,GPE,1
547,Israel,25237,25243,GPE,1
548,Egypt,25264,25269,GPE,1
549,Philistines,25279,25290,NORP,1
550,Cappadocia,25298,25308,GPE,1
551,Syrians,25318,25325,NORP,1
552,Cyrene,25333,25339,PERSON,1
553,Ethiopians,25365,25375,NORP,1
554,9,25427,25428,CARDINAL,1
555,8,25430,25431,CARDINAL,1
556,earth,25537,25542,LOC,1
557,Jacob,25592,25597,PERSON,1
558,9,25616,25617,CARDINAL,1
559,9,25619,25620,CARDINAL,1
560,Israel,25678,25684,GPE,1
561,9,25790,25791,CARDINAL,1
562,10,25793,25795,CARDINAL,1
563,9,25919,25920,CARDINAL,1
564,11,25922,25924,CARDINAL,1
565,that day,25929,25937,DATE,1
566,the days of old,26106,26121,DATE,1
567,9,26124,26125,CARDINAL,1
568,12,26127,26129,CARDINAL,1
569,Edom,26168,26172,GPE,1
570,9,26269,26270,CARDINAL,1
571,13,26272,26274,CARDINAL,1
572,days,26287,26291,DATE,1
573,9,26646,26647,CARDINAL,1
574,14,26649,26651,CARDINAL,1
575,Israel,26702,26708,GPE,1
