,name,start_pos,end_pos,tag,score
156,Uncle Billy,16001,16012,PERSON,1
157,"No, Jerry",16128,16137,WORK_OF_ART,1
158,first,16222,16227,ORDINAL,1
159,Jerry,16312,16317,PERSON,1
160,earth,16433,16438,LOC,1
161,Uncle Billy,16563,16574,PERSON,1
162,two,16725,16728,CARDINAL,1
163,Only fifty cents,16792,16808,MONEY,1
164,ten minutes,16813,16824,TIME,1
165,earth,16906,16911,LOC,1
166,he?”laughed Jerry,16949,16966,PERSON,1
167,Jerry,17230,17235,PERSON,1
168,Jerry,17305,17310,PERSON,1
169,Uncle Billy,17391,17402,PERSON,1
170,Jerry,17424,17429,PERSON,1
171,Mary,17661,17665,PERSON,1
172,Beth,17670,17674,PERSON,1
173,Jerry squeezed Uncle Billy 's,18110,18139,PERSON,1
174,Uncle Billy?”she,18228,18244,PERSON,1
175,two,18299,18302,CARDINAL,1
176,Atlantic,18375,18383,LOC,1
177,Europe,18435,18441,LOC,1
178,Uncle Billy,18454,18465,PERSON,1
179,"there,”he",18526,18535,PERSON,1
180,Togo Sen,18625,18633,PERSON,1
181,ten,18698,18701,QUANTITY,1
182,Uncle Billy,18790,18801,PERSON,1
183,"it,”said Jerry",18822,18836,PERSON,1
184,Beth,18914,18918,PERSON,1
185,Jerry,18922,18927,PERSON,1
186,Uncle Billy,18932,18943,PERSON,1
187,two,19050,19053,CARDINAL,1
188,Mary,19184,19188,PERSON,1
189,Uncle Billy,19254,19265,PERSON,1
190,Beth,19291,19295,PERSON,1
191,"it,”declared Mary",19432,19449,PERSON,1
192,ten cents,19516,19525,MONEY,1
193,Uncle Billy,19672,19683,PERSON,1
194,three,19859,19864,CARDINAL,1
195,Uncle Billy,19909,19920,PERSON,1
196,four,19935,19939,CARDINAL,1
197,French,20021,20027,NORP,1
198,one,20043,20046,CARDINAL,1
199,"Mary,“she",20083,20092,FAC,1
200,French,20145,20151,NORP,1
201,Mlle,20180,20184,GPE,1
202,Marie,20186,20191,PERSON,1
203,French,20203,20209,NORP,1
204,Beth,20219,20223,PERSON,1
205,just a half hour,20391,20407,TIME,1
206,Mary,20663,20667,PERSON,1
207,Billy,20675,20680,PERSON,1
208,one,20760,20763,CARDINAL,1
209,Mary,20964,20968,PERSON,1
210,Jerry,21109,21114,PERSON,1
211,Beth,21199,21203,PERSON,1
212,Uncle Billy,21270,21281,PERSON,1
213,"sauce,”he",21404,21413,DATE,1
214,Mary,21443,21447,PERSON,1
215,"promise,”they",21627,21640,PERSON,1
216,just eight years old,21755,21775,DATE,1
217,Uncle Billy,21905,21916,PERSON,1
218,"chap,”he",22039,22047,PERSON,1
219,"Well,”he",22125,22133,PERSON,1
220,fourth,22532,22538,ORDINAL,1
221,years later,22897,22908,DATE,1
222,early that night,23046,23062,TIME,1
223,Mary,23380,23384,PERSON,1
224,Elizabeth Geraldine,23404,23423,PERSON,1
225,two,23432,23435,CARDINAL,1
226,Jerry,23445,23450,PERSON,1
227,Mary,23503,23507,PERSON,1
228,Beth,23579,23583,PERSON,1
229,"now,”said Uncle Billy",23724,23745,PERSON,1
230,"Mary,“and",23847,23856,PERSON,1
231,first,24001,24006,ORDINAL,1
232,1,24183,24184,CARDINAL,1
233,100,24188,24191,CARDINAL,1
234,Jerry,24436,24441,PERSON,1
235,three or four years,24493,24512,DATE,1
236,"waiting,”he",24632,24643,PERSON,1
237,Uncle Billy,24654,24665,PERSON,1
238,one,24869,24872,CARDINAL,1
239,one,24951,24954,CARDINAL,1
240,97,24992,24994,CARDINAL,1
241,Uncle Billy,25202,25213,PERSON,1
242,Mary,25416,25420,PERSON,1
243,Jerry,25467,25472,PERSON,1
244,Uncle Billy,25614,25625,PERSON,1
245,Mary,25766,25770,PERSON,1
246,Jerry,25879,25884,PERSON,1
247,Uncle Billy,25887,25898,PERSON,1
248,three,25991,25996,CARDINAL,1
249,"again,”he",26057,26066,PERSON,1
250,Beth,26233,26237,PERSON,1
251,Mary,26242,26246,PERSON,1
252,Mary,26296,26300,PERSON,1
253,Uncle Billy,26323,26334,PERSON,1
254,Jerry,26350,26355,PERSON,1
255,Mary,26487,26491,PERSON,1
256,"Uncle Billy,”laughed Beth",26522,26547,PERSON,1
257,“He,26548,26551,PERSON,1
258,Uncle Billy,26605,26616,PERSON,1
259,"too,”he",26683,26690,PERSON,1
260,“Little Beth,26696,26708,PERSON,1
261,Mary,26724,26728,PERSON,1
262,Jerry,26762,26767,PERSON,1
263,Mary,26828,26832,PERSON,1
264,Uncle Billy,26874,26885,PERSON,1
265,Annabel,26945,26952,PERSON,1
266,Uncle Billy,27011,27022,PERSON,1
267,Mary,27027,27031,PERSON,1
268,Mary,27099,27103,PERSON,1
269,Elizabeth Geraldine,27179,27198,PERSON,1
270,two,27210,27213,CARDINAL,1
271,Uncle Billy,27315,27326,PERSON,1
272,three,27391,27396,CARDINAL,1
273,days,27491,27495,DATE,1
274,Jerry,27524,27529,PERSON,1
275,"yet,”said Beth",27555,27569,PERSON,1
276,cheeringly,27571,27581,PERSON,1
277,Mary,27658,27662,PERSON,1
278,Elizabeth Geraldine,27702,27721,PERSON,1
279,"Yes,”agreed Mary,“for",27743,27764,WORK_OF_ART,1
280,Annabel,27802,27809,PERSON,1
281,Uncle Billy,27853,27864,PERSON,1
282,the entrance gate,27895,27912,FAC,1
283,Jerry,27979,27984,PERSON,1
284,Uncle Billy,28001,28012,PERSON,1
285,Patsy,28092,28097,PERSON,1
286,Uncle Billy,28149,28160,PERSON,1
287,Beth,28220,28224,PERSON,1
288,Mary,28229,28233,PERSON,1
289,Elizabeth Geraldine,28316,28335,PERSON,1
290,Beth,28356,28360,PERSON,1
291,Mary,28541,28545,PERSON,1
292,Elizabeth Geraldine,28558,28577,PERSON,1
293,Beth,28649,28653,PERSON,1
294,Jerry,28704,28709,PERSON,1
295,first,28780,28785,ORDINAL,1
296,Uncle Billy,28798,28809,PERSON,1
297,Merryvale,28845,28854,ORG,1
298,Two,28858,28861,CARDINAL,1
299,Beth,28897,28901,PERSON,1
300,Mary,28992,28996,PERSON,1
301,Elizabeth Geraldine,29153,29172,PERSON,1
302,Beth,29220,29224,PERSON,1
303,Jerry,29229,29234,PERSON,1
304,"Uncle Billy,”and Mary",29248,29269,PERSON,1
305,Jerry,29370,29375,PERSON,1
306,Beth,29410,29414,PERSON,1
307,Uncle Billy,29480,29491,PERSON,1
308,Beth,29523,29527,PERSON,1
309,Uncle Billy,29576,29587,PERSON,1
310,Beth,29754,29758,PERSON,1
311,Alan Douglas,29880,29892,PERSON,1
312,The Campfires,29907,29920,PERSON,1
313,Elmer Chenoweth,30073,30088,PERSON,1
314,Woodcraft,30225,30234,ORG,1
315,Pathfinder,30431,30441,ORG,1
316,Nine,30632,30636,CARDINAL,1
317,Fairfield,30659,30668,GPE,1
318,One,30837,30840,CARDINAL,1
319,recent years,30873,30885,DATE,1
320,Great Hike,30887,30897,GPE,1
321,The Pride of The Khaki Troop,30903,30931,WORK_OF_ART,1
322,Endurance Test,31154,31168,ORG,1
323,Clear Grit Won,31178,31192,PRODUCT,1
324,One,31372,31375,CARDINAL,1
325,Douglas,31404,31411,PERSON,1
326,Canvas,31431,31437,ORG,1
327,Hunt,31447,31451,PERSON,1
328,the Cartaret Ghost,31456,31474,ORG,1
329,a Vacation Among the Snow Drifts The boys,31643,31684,WORK_OF_ART,1
330,The Hickory Ridge Boy Scout Series,31854,31888,FAC,1
